,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
0,2,Emi Buendía,Aston Villa,0.04,,Blocked,25.0,Right Foot,,Ashley Young,Pass (Live),Danny Ings,Pass (Live)
1,3,Ismaila Sarr,Watford,0.04,,Off Target,19.0,Right Foot,Volley,Ken Sema,Pass (Dead),Oghenekaro Etebo,Pass (Live)
2,10,Emmanuel Dennis,Watford,0.13,,Blocked,13.0,Right Foot,,Ismaila Sarr,Pass (Live),Tom Cleverley,Pass (Live)
3,10,Emmanuel Dennis,Watford,0.16,0.04,Goal,12.0,Right Foot,,Emmanuel Dennis,Shot,,
4,28,Ismaila Sarr,Watford,0.02,0.05,Saved,27.0,Right Foot,Volley,Ismaila Sarr,Take-On,Emmanuel Dennis,Pass (Live)
5,29,Emmanuel Dennis,Watford,0.07,0.11,Saved,12.0,Right Foot,,Emmanuel Dennis,Take-On,Ismaila Sarr,Pass (Live)
6,32,Juraj Kucka,Watford,0.08,,Off Target,21.0,Right Foot,,Emmanuel Dennis,Pass (Live),Juraj Kucka,Pass (Live)
7,33,Ashley Young,Aston Villa,0.02,,Off Target,12.0,Head,,Matt Targett,Pass (Live),Anwar El Ghazi,Pass (Dead)
8,40,Christian Kabasele,Watford,0.26,,Off Target,8.0,Head,,Ken Sema,Pass (Dead),Ken Sema,Fouled
9,42,Ismaila Sarr,Watford,0.1,0.65,Goal,15.0,Right Foot,Deflected,Emmanuel Dennis,Pass (Live),Ismaila Sarr,Pass (Live)
10,43,Juraj Kucka,Watford,0.04,,Off Target,30.0,Left Foot,,Ismaila Sarr,Pass (Live),Ismaila Sarr,Take-On
11,,,,,,,,,,,,,
12,49,Jacob Ramsey,Aston Villa,0.05,,Off Target,22.0,Left Foot,,Emi Buendía,Pass (Live),Jacob Ramsey,Pass (Live)
13,50,John McGinn,Aston Villa,0.05,,Off Target,25.0,Left Foot,,Jacob Ramsey,Pass (Live),Marvelous Nakamba,Pass (Live)
14,51,Emmanuel Dennis,Watford,0.06,0.12,Saved,17.0,Right Foot,,Ismaila Sarr,Pass (Live),Emmanuel Dennis,Pass (Live)
15,64,Emmanuel Dennis,Watford,0.16,,Blocked,17.0,Right Foot,,Ken Sema,Pass (Live),Emmanuel Dennis,Pass (Live)
16,67,Cucho,Watford,0.03,0.57,Goal,21.0,Right Foot,,Tom Cleverley,Pass (Live),Juraj Kucka,Take-On
17,70,John McGinn,Aston Villa,0.07,0.37,Goal,20.0,Left Foot,,Leon Bailey,Pass (Live),Ashley Young,Pass (Live)
18,83,Leon Bailey,Aston Villa,0.04,,Blocked,15.0,Right Foot,,Jacob Ramsey,Pass (Live),Bertrand Traoré,Pass (Live)
19,88,Leon Bailey,Aston Villa,0.04,,Off Target,31.0,Left Foot,Free kick,Jacob Ramsey,Fouled,Danny Ings,Take-On
20,90,Cucho,Watford,0.02,0.02,Saved,23.0,Right Foot,,Oghenekaro Etebo,Pass (Live),,
21,90,John McGinn,Aston Villa,0.02,,Off Target,23.0,Left Foot,,Ashley Young,Pass (Live),Marvelous Nakamba,Pass (Live)
22,90+7,Danny Ings (pen),Aston Villa,0.79,0.95,Goal,13.0,Right Foot,,Bertrand Traoré,Fouled,Bertrand Traoré,Take-On
23,90+8,Matty Cash,Aston Villa,0.01,,Off Target,25.0,Right Foot,Volley,Tyrone Mings,Take-On,,
24,90+8,Bertrand Traoré,Aston Villa,0.07,,Blocked,17.0,Left Foot,,Bertrand Traoré,Take-On,Matty Cash,Shot
0,11.0,Diogo Jota,Liverpool,0.15,0.22,Saved,10.0,Head,,Naby Keïta,Pass (Live),,
1,18.0,Mohamed Salah,Liverpool,0.06,0.12,Saved,14.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Joël Matip,Pass (Live)
2,19.0,Alex Oxlade-Chamberlain,Liverpool,0.02,,Off Target,27.0,Right Foot,Volley,Joël Matip,Pass (Live),Virgil van Dijk,Pass (Dead)
3,20.0,Teemu Pukki,Norwich City,0.09,0.1,Saved,13.0,Right Foot,,Todd Cantwell,Pass (Live),Max Aarons,Pass (Live)
4,20.0,Lukas Rupp,Norwich City,0.01,,Off Target,27.0,Right Foot,Volley,Teemu Pukki,Shot,,
5,23.0,Mohamed Salah,Liverpool,0.05,,Off Target,15.0,Left Foot,Volley,Sadio Mané,Pass (Live),Kostas Tsimikas,Pass (Live)
6,24.0,Todd Cantwell,Norwich City,0.01,,Off Target,44.0,Right Foot,,,,,
